what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1340036584640
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340036584640
java.specification.version,sysinfo,,,"1.7",1340036584640
java.vendor,sysinfo,,,"Oracle Corporation",1340036584640
java.version,sysinfo,,,"1.7.0_05",1340036584640
java.vm.info,sysinfo,,,"mixed mode",1340036584640
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340036584640
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340036584640
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340036584640
java.vm.specification.version,sysinfo,,,"1.7",1340036584640
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340036584640
java.vm.version,sysinfo,,,"23.1-b03",1340036584640
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1340036587279
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1340036587288
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1340036587380
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1340036587387
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1340036587415
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1340036587435
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1340036587458
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1340036587464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036587764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340036633748
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1340036638096
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1340036638370
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1340036648489
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1340036655424
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1340036655440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036671232
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1340036671251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036671546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036727600
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1340036730707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036730769
error,log,,,"Cannot continue the operation.  There is another install operation in progress.",1340036730796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036733215
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1340036735477
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340036735556
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1340036735568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036740504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036754236
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340036759418
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340036759701
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340036759708
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1340036759950
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1340036759954
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1340036759955
